city,date,fare,ride_id
Sarabury,2016/01/16 13:49:00,38.35,5400000000000 
South Roy,2016/01/02 18:42:00,17.49,4040000000000 
Wiseborough,2016/01/21 17:35:00,44.18,3650000000000 
Spencertown,2016/07/31 14:53:00,6.87,2240000000000 
Nguyenbury,2016/07/09 04:42:00,6.28,1540000000000 
New Jeffrey,2016/02/22 18:36:00,36.01,9760000000000 
Port Johnstad,2016/06/07 02:39:00,17.15,4350000000000 
Jacobfort,2016/09/20 20:58:00,22.98,1500000000000 
Travisville,2016/01/15 17:32:00,27.39,850000000000 
Sandymouth,2016/11/16 07:27:00,21.61,2390000000000 
New Andreamouth,2016/04/11 07:20:00,7.72,9990000000000 
New Christine,2016/09/13 15:06:00,24.89,7920000000000 
Stewartview,2016/03/29 05:15:00,23.88,6780000000000 
Rodriguezburgh,2016/09/05 05:20:00,4.54,9650000000000 
West Sydneyhaven,2016/08/02 21:18:00,12.87,7990000000000 
Swansonbury,2016/07/11 18:42:00,39.3,744000000000 
Lisatown,2016/07/05 18:09:00,5.82,6370000000000 
East Erin,2016/11/03 01:03:00,7.51,4740000000000 
Port Martinberg,2016/01/06 17:11:00,8.66,7300000000000 
Wiseborough,2016/09/12 18:43:00,26.83,9300000000000 
Edwardsbury,2016/02/27 03:55:00,20.17,8510000000000 
Jacobfort,2016/06/12 17:01:00,34.47,4140000000000 
Pamelahaven,2016/03/26 12:56:00,36.43,3020000000000 
Fosterside,2016/08/12 11:52:00,28.08,133000000000 
Jacobfort,2016/09/17 12:38:00,38.25,2180000000000 
West Sydneyhaven,2016/08/23 14:49:00,36.12,5890000000000 
West Alexis,2016/01/16 00:33:00,26.62,1570000000000 
Carrollfort,2016/06/24 20:11:00,6.45,1090000000000 
New David,2016/01/12 20:48:00,38.68,5230000000000 
Stewartview,2016/10/15 05:26:00,11.74,8400000000000 
Williamshire,2016/06/22 07:53:00,39.81,5320000000000 
Spencertown,2016/07/12 02:52:00,31.39,755000000000 
Torresshire,2016/10/29 12:28:00,23.5,6170000000000 
New Aaron,2016/08/12 17:14:00,34.63,6250000000000 
Kelseyland,2016/08/19 04:27:00,5.51,6250000000000 
Spencertown,2016/06/13 03:01:00,25.91,7410000000000 
Williamshire,2016/03/22 06:49:00,5.78,4030000000000 
Lake Sarashire,2016/07/16 02:33:00,34.69,7540000000000 
Swansonbury,2016/09/17 15:52:00,29.95,5580000000000 
South Roy,2016/12/03 08:39:00,32.88,7100000000000 
Pearsonberg,2016/03/27 03:46:00,6.72,928000000000 
Wiseborough,2016/10/01 09:57:00,37.84,1620000000000 
Aprilchester,2016/05/11 07:04:00,20.29,1080000000000 
South Josephville,2016/06/01 05:15:00,28.33,7960000000000 
Sarabury,2016/07/23 07:42:00,21.76,7550000000000 
Port Martinberg,2016/10/14 00:03:00,11.62,8420000000000 
Davistown,2016/08/31 20:43:00,34.77,2560000000000 
Lake Jeffreyland,2016/10/22 13:25:00,26.82,3280000000000 
Port Samantha,2016/01/06 20:50:00,34.72,5730000000000 
Smithhaven,2016/03/23 11:06:00,9.17,7820000000000 
West Jefferyfurt,2016/07/08 05:37:00,28.75,710000000000 
Jacobfort,2016/06/23 10:30:00,16.24,1220000000000 
Zimmermanmouth,2016/06/29 21:29:00,17.12,1210000000000 
Eriktown,2016/07/26 10:58:00,19.81,6340000000000 
Eriktown,2016/01/03 10:46:00,22.9,5880000000000 
Kellershire,2016/05/05 08:07:00,26.5,6980000000000 
West Alexis,2016/08/29 18:17:00,6.16,209000000000 
Alyssaberg,2016/05/28 09:20:00,35.61,7470000000000 
Lake Jennaton,2016/06/05 12:00:00,25.56,9580000000000 
West Brandy,2016/04/12 00:51:00,34.59,9600000000000 
Port Samantha,2016/04/04 10:57:00,33.91,7430000000000 
New Aaron,2016/10/30 22:19:00,8.44,1130000000000 
Sarabury,2016/04/02 04:32:00,38.03,4930000000000 
West Oscar,2016/10/05 22:23:00,32.64,7920000000000 
Edwardsbury,2016/01/28 23:28:00,26.61,6100000000000 
Arnoldview,2016/03/24 05:50:00,38.73,9910000000000 
Swansonbury,2016/01/04 20:54:00,17.1,7450000000000 
Port Johnstad,2016/11/19 02:08:00,34.47,3220000000000 
South Louis,2016/06/19 05:30:00,35.29,320000000000 
Lisaville,2016/01/06 03:50:00,19.6,239000000000 
New Maryport,2016/02/10 05:36:00,23.41,397000000000 
West Dawnfurt,2016/07/24 15:18:00,30.8,3840000000000 
Davidtown,2016/10/12 17:56:00,24.65,9380000000000 
West Peter,2016/08/16 23:26:00,7.25,1040000000000 
Spencertown,2016/01/16 18:28:00,35.59,7000000000000 
Rodriguezburgh,2016/11/21 10:41:00,26.13,6510000000000 
Russellport,2016/09/08 17:46:00,13.81,1030000000000 
Rodriguezburgh,2016/05/22 21:34:00,8.83,5140000000000 
West Brandy,2016/08/19 03:53:00,17.72,1900000000000 
South Roy,2016/11/20 02:09:00,6.81,6510000000000 
Russellport,2016/02/02 20:46:00,18.96,7230000000000 
Zimmermanmouth,2016/08/11 11:17:00,5.97,7280000000000 
Sarabury,2016/06/23 05:03:00,26.82,6710000000000 
East Douglas,2016/10/01 19:07:00,16.36,8450000000000 
Kellershire,2016/11/02 16:34:00,15.29,7140000000000 
Davistown,2016/02/29 22:39:00,15.58,2610000000000 
Davistown,2016/05/26 20:42:00,12.96,3750000000000 
Mooreview,2016/05/31 13:20:00,24.82,9880000000000 
Zimmermanmouth,2016/08/01 20:38:00,34.95,2260000000000 
Port Johnstad,2016/08/21 08:03:00,15.92,4310000000000 
Port Josephfurt,2016/09/20 19:27:00,14,2470000000000 
East Douglas,2016/07/19 07:42:00,11.24,8570000000000 
East Douglas,2016/09/20 02:40:00,23.26,825000000000 
Torresshire,2016/05/24 15:47:00,29.25,9780000000000 
West Brandy,2016/10/04 21:18:00,20.62,1060000000000 
New Christine,2016/01/26 13:18:00,23.52,1420000000000 
New Andreamouth,2016/11/18 15:01:00,17.64,8670000000000 
Lisatown,2016/10/14 09:22:00,33.4,9890000000000 
Port Johnstad,2016/08/27 18:09:00,22.48,9410000000000 
Wiseborough,2016/09/12 00:38:00,20.62,8630000000000 
South Bryanstad,2016/08/12 12:15:00,21.78,7010000000000 
New Maryport,2016/02/26 22:31:00,19.52,393000000000 
West Jefferyfurt,2016/02/18 04:54:00,7.71,5380000000000 
New David,2016/07/08 23:48:00,31.51,4500000000000 
Nguyenbury,2016/11/08 19:22:00,19.49,1700000000000 
Swansonbury,2016/11/26 12:07:00,43.98,4620000000000 
Prattfurt,2016/05/13 22:09:00,11.3,5490000000000 
New Aaron,2016/10/04 21:47:00,42.87,3210000000000 
Davistown,2016/06/07 18:54:00,22.35,7310000000000 
Stewartview,2016/06/30 23:03:00,15.58,2450000000000 
West Jefferyfurt,2016/06/15 22:30:00,20.25,2460000000000 
Vickimouth,2016/06/17 04:23:00,40.88,2620000000000 
South Louis,2016/09/08 02:07:00,38.81,9680000000000 
New David,2016/09/11 05:05:00,10.05,1690000000000 
West Dawnfurt,2016/03/06 18:21:00,28.26,3900000000000 
Davistown,2016/01/14 06:15:00,7.61,9210000000000 
Port Josephfurt,2016/07/01 23:19:00,5.6,3230000000000 
Alvarezhaven,2016/04/18 20:51:00,31.93,4270000000000 
West Peter,2016/02/04 05:21:00,32.23,5460000000000 
New Andreamouth,2016/08/22 06:59:00,43.14,5030000000000 
Wiseborough,2016/10/29 19:14:00,13.85,8840000000000 
East Douglas,2016/04/02 13:49:00,28.17,3800000000000 
Kelseyland,2016/04/17 06:59:00,5.54,7470000000000 
Smithhaven,2016/04/26 16:06:00,30.35,8280000000000 
West Jefferyfurt,2016/06/08 06:50:00,22.13,8740000000000 
Alvarezhaven,2016/08/01 00:39:00,6.42,8390000000000 
West Peter,2016/01/11 14:29:00,10.13,60400779470 
Sarabury,2016/09/30 12:48:00,30.3,6390000000000 
Yolandafurt,2016/07/03 17:13:00,32.91,1050000000000 
Lake Jennaton,2016/06/12 21:55:00,15.68,6360000000000 
Lake Jeffreyland,2016/12/04 12:34:00,17.25,3970000000000 
Spencertown,2016/08/11 12:33:00,12.76,453000000000 
Nguyenbury,2016/03/19 13:08:00,35.07,9200000000000 
Alyssaberg,2016/04/29 20:53:00,19.77,44295036528 
Yolandafurt,2016/06/01 01:49:00,31.05,308000000000 
Davidtown,2016/08/07 11:22:00,35.99,8760000000000 
Davistown,2016/04/26 03:20:00,17.22,7890000000000 
Fosterside,2016/04/01 04:46:00,13.17,2910000000000 
West Peter,2016/01/25 13:57:00,27.53,5400000000000 
West Brittanyton,2016/06/07 07:40:00,16.54,9660000000000 
Port Martinberg,2016/06/12 10:31:00,38.4,2190000000000 
Travisville,2016/03/01 19:20:00,33.99,3330000000000 
West Sydneyhaven,2016/10/16 09:38:00,5.07,3090000000000 
West Oscar,2016/11/26 13:24:00,44.48,8260000000000 
Sandymouth,2016/10/03 05:05:00,20.3,9270000000000 
Spencertown,2016/06/14 16:52:00,8.58,8120000000000 
Carrollfort,2016/01/02 18:46:00,40.84,3710000000000 
Pamelahaven,2016/07/12 02:19:00,44.39,8860000000000 
South Louis,2016/07/26 16:34:00,33.19,6570000000000 
West Peter,2016/06/07 02:32:00,27.05,1010000000000 
Lisaville,2016/02/05 02:25:00,37.01,4010000000000 
New Aaron,2016/10/18 23:07:00,27.41,4270000000000 
Travisville,2016/10/16 19:55:00,25.52,2620000000000 
Lake Jeffreyland,2016/08/29 05:21:00,7.69,7920000000000 
Stewartview,2016/05/29 22:39:00,39.36,4910000000000 
Alvarezhaven,2016/09/01 22:57:00,18.09,1200000000000 
Prattfurt,2016/02/03 14:17:00,13.15,3250000000000 
Arnoldview,2016/03/29 20:04:00,32.63,8170000000000 
East Erin,2016/10/04 10:31:00,32.35,3960000000000 
Rodriguezburgh,2016/10/07 11:09:00,25.19,7710000000000 
Sarabury,2016/08/04 00:25:00,27.2,2430000000000 
Alyssaberg,2016/01/17 07:11:00,21.03,3140000000000 
Arnoldview,2016/02/14 02:12:00,34.2,5950000000000 
